ax,ay,az,gx,gy,gz,clase_id,nombre_clase,origen
6.368771,3.1484714,6.8667803,0.28355324,0.12761158,0.20527455,3,izquierda,single/left_single.csv
6.402291,3.1293173,6.9936767,0.24384701,0.092792265,0.1869486,3,izquierda,single/left_single.csv
6.55313,3.110163,6.8524146,0.27133596,0.045144774,0.21199407,3,izquierda,single/left_single.csv
6.6680555,3.1221344,6.6177754,0.29454884,0.056140352,0.23642868,3,izquierda,single/left_single.csv
6.352011,3.1963568,6.5579185,0.30493352,0.046366505,0.23765041,3,izquierda,single/left_single.csv
6.0694866,3.1269228,6.938608,0.28355324,0.02498622,0.21565926,3,izquierda,single/left_single.csv
7.336058,3.4166303,6.5124273,0.28172067,-0.07030875,0.2571981,3,izquierda,single/left_single.csv
6.9003,3.3902931,6.577073,0.34525064,-0.07336308,0.2749132,3,izquierda,single/left_single.csv
6.002447,3.1963568,6.9936767,0.29821402,0.042090446,0.19611157,3,izquierda,single/left_single.csv
5.7534423,3.2801564,7.0942364,0.23285145,0.097068325,0.11914255,3,izquierda,single/left_single.csv
6.8260775,3.4429672,6.7566433,0.32631385,0.02132103,0.21810272,3,izquierda,single/left_single.csv
7.185219,3.5219781,6.229903,0.3757939,0.020099299,0.23520695,3,izquierda,single/left_single.csv
6.431022,3.4142358,6.5459476,0.30676615,0.069579385,0.14907496,3,izquierda,single/left_single.csv
6.1748347,3.2107224,7.142122,0.2493448,0.06591419,0.113644764,3,izquierda,single/left_single.csv
6.490879,3.2633965,6.5603127,0.3324225,0.0036059376,0.17289868,3,izquierda,single/left_single.csv
6.1054006,3.0957973,6.5148215,0.38740036,-0.011054829,0.17778562,3,izquierda,single/left_single.csv
5.36557,2.9497466,7.1660647,0.3562462,-0.034878574,0.14418802,3,izquierda,single/left_single.csv
6.4621477,3.2442424,7.269018,0.3635766,-0.12528662,0.16984436,3,izquierda,single/left_single.csv
7.6640735,3.8763309,5.8204823,0.5028539,-0.23279892,0.29262826,3,izquierda,single/left_single.csv
7.4102807,3.7661943,5.8947043,0.5633295,-0.09535423,0.30240214,3,izquierda,single/left_single.csv
6.220326,3.5076127,6.65369,0.36296573,0.13677457,0.13502504,3,izquierda,single/left_single.csv
5.506832,3.4716985,7.0726876,0.22307761,0.28338224,0.010408533,3,izquierda,single/left_single.csv
6.308914,3.502824,6.854809,0.27683374,0.20091541,0.034232277,3,izquierda,single/left_single.csv
6.63693,3.7781656,5.9186473,0.43443698,0.019488433,0.16923349,3,izquierda,single/left_single.csv
6.454965,3.840417,5.7797794,0.5370623,-0.0043353103,0.239483,3,izquierda,single/left_single.csv
6.5579185,3.859571,5.7965393,0.52056897,0.0011624765,0.23459609,3,izquierda,single/left_single.csv
7.3743663,3.991256,5.439792,0.51507115,-0.1258975,0.2571981,3,izquierda,single/left_single.csv
7.6544967,4.048719,5.008823,0.53889495,-0.23035546,0.3078999,3,izquierda,single/left_single.csv
7.151699,4.0463243,5.279376,0.49430177,-0.14605604,0.29507175,3,izquierda,single/left_single.csv
7.0966306,3.929005,5.5619006,0.3635766,-0.026937325,0.20099849,3,izquierda,single/left_single.csv
7.103813,3.816474,5.585843,0.2578969,-0.017774345,0.122196876,3,izquierda,single/left_single.csv
6.919454,3.6488748,5.8779445,0.21513635,0.0133797815,0.09837313,3,izquierda,single/left_single.csv
6.481302,3.6704233,5.6576715,0.19864298,0.07202284,0.08432323,3,izquierda,single/left_single.csv
6.5196104,3.7781656,5.7462597,0.21513635,0.08729448,0.0971514,3,izquierda,single/left_single.csv
7.1349387,3.806897,6.0527267,0.20169732,0.061638135,0.14602062,3,izquierda,single/left_single.csv
6.9457912,3.790137,5.791751,0.21819067,0.038425256,0.14540976,3,izquierda,single/left_single.csv
6.533976,3.7326744,5.6959796,0.22002327,0.07874236,0.09409707,3,izquierda,single/left_single.csv
6.464542,3.7302802,5.8204823,0.19436695,0.1062313,0.080047175,3,izquierda,single/left_single.csv
6.7877693,3.7829542,5.9641385,0.1845931,0.058583807,0.1112013,3,izquierda,single/left_single.csv
6.8260775,3.6871831,6.0263896,0.18520397,0.027429681,0.14785321,3,izquierda,single/left_single.csv
6.6632667,3.5770466,5.7103453,0.20047559,0.037814394,0.13624679,3,izquierda,single/left_single.csv
6.483696,3.4908526,5.7390766,0.19742127,0.088516206,0.113644764,3,izquierda,single/left_single.csv
6.2777886,3.6129606,6.3137026,0.13389128,0.15448965,0.099594854,3,izquierda,single/left_single.csv
6.4429936,3.7446458,6.881146,0.06364177,0.19114158,0.10875784,3,izquierda,single/left_single.csv
6.7662206,3.7326744,6.7279124,0.07219388,0.19236329,0.14907496,3,izquierda,single/left_single.csv
6.6704497,3.8021083,5.89231,0.17420839,0.1361637,0.17106609,3,izquierda,single/left_single.csv
6.352011,3.8045027,5.949773,0.2707251,0.100122645,0.14907496,3,izquierda,single/left_single.csv
5.933013,3.833234,6.1915946,0.23651662,0.17709166,0.102038324,3,izquierda,single/left_single.csv
